"","X","Country","Country.Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious.Critical","Tot.Cases.1M.pop","Deaths.1M.pop","TotalTests","Tests.1M.pop","Population","Continent","Case.Fatality.rate","GDP","GDP.for.health.expenditure","Population.1","CO2.emission.per.capita","Life.Expectancy","Govhealthexp"
"84",81,73,"Guinea",2796,NA,16,NA,1263,1517,18,214,1,10304,787,13086759,NA,0.572246065808298,"1030,708","4,123",12414318,0.22,59,"89"
"85",108,100,"Guinea-Bissau",1032,NA,4,NA,38,990,NA,526,2,1500,764,1962083,NA,0.387596899224806,"830,209","7,236",1874309,0.16,58.9,"123"
"86",168,160,"Guyana",124,NA,10,NA,45,69,3,158,13,1218,1549,786108,NA,8.06451612903226,"10249,383","4,946",779004,2.632,66.2,"405"
"87",131,123,"Haiti",533,NA,21,NA,21,491,NA,47,2,2120,186,11385726,NA,3.93996247654784,"765,413","8,036",11123176,0.271,63.5,"146"
"88",80,72,"Honduras",2798,152,146,4,340,2312,14,283,15,10775,1090,9885245,NA,5.21801286633309,"2593,926","7,858",9587522,1.058,74.6,"395"
"89",106,98,"Hong Kong",1056,NA,4,NA,1025,27,1,141,0.5,168291,22469,7489763,NA,0.378787878787879,"50460,39",NA,7451000,6.394,NA,NA
"90",73,65,"Hungary",3556,21,467,5,1412,1677,46,368,48,138697,14353,9663123,NA,13.132733408324,"18535,147","6,880",9775564,4.266,75.8,"1 979"
"91",91,83,"Iceland",1802,NA,10,NA,1786,6,NA,5285,29,56882,166818,340982,NA,0.554938956714761,"66601,877","8,326",352721,6.06,82.7,"4 721"
"92",19,11,"India",102231,1903,3169,13,39658,59404,NA,74,2,2404267,1744,1378381772,NA,3.0998425135233,"2338,115","3,535",1352617328,1.728,68.3,"253"
"93",40,32,"Indonesia",18496,486,1221,30,4467,12808,NA,68,4,202936,743,273176544,NA,6.60142733564014,"4464,572","2,989",267663435,1.819,69.1,"368"
"94",18,10,"Iran",124603,2111,7119,62,97173,20311,2698,1486,85,716176,8540,83862642,NA,5.7133455855798,"5503,083","8,660",81800269,8.384,75.5,"1 748"
"95",74,66,"Iraq",3554,NA,127,NA,2310,1117,NA,89,3,149701,3732,40108260,NA,3.57343837929094,"5799,425","4,167",38433600,4.895,68.9,NA
